"wrkstat","wrkslf","wrkgovt","occ10","indus10","age","educ","sex","race","year","parsol","joblose","jobfind","satjob","satfin","coninc","conrinc","prestg10","prestg105plus","dwelown"
1,2,2,3930,7070,43,13,2,1,2000,1,NA,NA,1,2,56836,16792,34,27,NA
1,1,2,3040,8070,54,18,1,1,2000,NA,3,1,2,1,NA,NA,70,95,1
1,1,2,726,9190,57,18,2,1,2000,3,NA,NA,1,1,166419,160964,40,37,NA
1,2,2,3600,9290,56,12,2,2,2000,1,NA,NA,1,2,46502,46502,48,50,NA
1,2,2,5510,6170,34,12,1,2,2000,3,NA,NA,1,3,33585,16792,29,18,NA
7,2,2,3600,8270,31,12,2,2,2000,NA,NA,NA,4,3,19376,NA,48,50,2
6,2,2,4010,8680,25,12,2,3,2000,2,NA,NA,NA,2,16792,3617,38,29,2
7,NA,NA,NA,NA,30,9,2,2,2000,NA,NA,NA,2,1,21959,NA,NA,NA,2
1,2,2,6260,770,24,10,1,2,2000,1,3,2,1,1,46502,46502,28,23,2
4,2,1,2300,8470,35,14,2,2,2000,5,NA,NA,2,3,5684,NA,53,68,NA
2,2,2,9000,7590,32,10,1,2,2000,2,3,2,1,2,16792,16792,45,50,2
3,2,1,120,6870,38,14,2,3,2000,1,4,2,3,3,69753,33585,53,65,2
1,1,2,4600,8470,46,9,2,1,2000,NA,4,2,2,2,16792,NA,35,28,2
1,2,2,4230,8660,59,12,1,1,2000,NA,4,1,1,2,38752,33585,25,14,2
1,2,2,5700,8370,26,12,2,1,2000,NA,NA,NA,2,2,NA,NA,47,55,NA
2,2,2,4940,7590,29,12,2,1,2000,2,NA,NA,2,2,24543,7750,18,8,NA
1,2,2,7315,770,25,12,1,1,2000,NA,4,1,1,2,NA,NA,45,53,2
4,2,2,8320,1670,59,8,2,1,2000,2,NA,NA,2,2,NA,NA,32,22,2
1,2,1,5310,9570,29,12,2,1,2000,2,1,NA,1,2,NA,16792,50,65,2
1,2,2,4950,6470,25,11,2,1,2000,NA,1,3,1,2,33585,33585,21,8,1
5,NA,2,800,9480,68,12,1,1,2000,2,NA,NA,NA,1,NA,NA,60,85,NA
5,1,2,310,8680,78,5,1,1,2000,2,NA,NA,NA,1,NA,NA,39,40,NA
1,1,2,2100,7270,32,18,1,3,2000,NA,4,1,1,1,NA,NA,69,89,2
1,2,2,4700,4790,54,13,2,1,2000,2,NA,NA,2,1,NA,NA,38,39,NA
1,2,1,2840,9380,40,16,2,1,2000,3,3,2,1,2,33585,33585,55,67,2
1,2,NA,4220,7070,41,12,1,1,2000,NA,NA,NA,2,2,NA,NA,24,15,NA
7,NA,NA,NA,NA,37,8,2,3,2000,2,NA,NA,1,1,NA,NA,NA,NA,2
7,NA,NA,NA,NA,31,12,2,1,2000,NA,NA,NA,NA,3,21959,NA,NA,NA,2
7,1,2,4700,4970,36,11,2,3,2000,NA,NA,NA,3,3,9300,NA,38,39,2
3,1,2,8255,1490,55,16,1,1,2000,NA,4,2,4,1,166419,46502,36,25,1
1,2,2,430,7380,31,20,2,3,2000,NA,2,1,3,3,NA,NA,39,42,1
1,1,2,4220,7070,58,12,1,1,2000,2,NA,NA,1,3,NA,NA,24,15,NA
1,2,2,5610,6380,38,16,2,1,2000,2,NA,NA,3,2,69753,56836,35,27,NA
7,NA,2,8830,9090,36,12,2,1,2000,NA,NA,NA,2,3,14209,NA,35,22,2
7,NA,NA,NA,NA,53,14,2,1,2000,NA,NA,NA,NA,2,NA,NA,NA,NA,2
1,2,2,4920,7070,25,14,2,1,2000,NA,4,2,1,2,46502,46502,49,69,2
1,2,2,5700,6670,29,10,2,1,2000,NA,3,2,1,3,NA,NA,47,55,2
1,1,2,4760,5790,52,16,1,1,2000,1,NA,NA,1,1,NA,NA,31,18,NA
2,2,2,3600,8170,45,14,2,1,2000,NA,4,1,2,3,NA,NA,48,50,1
7,2,2,2200,7870,64,19,2,1,2000,1,NA,NA,NA,2,NA,NA,74,94,NA
1,2,2,5000,7470,42,16,1,1,2000,2,1,NA,3,2,85254,46502,46,54,2
2,1,2,5520,7070,62,12,2,2,2000,3,NA,NA,2,2,16792,6717,32,24,NA
7,NA,NA,NA,NA,44,12,2,1,2000,2,NA,NA,2,3,5684,NA,NA,NA,NA
7,NA,NA,NA,NA,32,11,2,2,2000,NA,NA,NA,3,3,7750,NA,NA,NA,NA
6,2,2,5700,6870,21,13,2,2,2000,3,NA,NA,NA,3,NA,NA,47,55,2
8,NA,NA,NA,NA,62,8,2,3,2000,NA,NA,NA,NA,3,6717,NA,NA,NA,2
2,2,2,4050,8680,48,15,2,2,2000,NA,3,3,3,3,11626,5684,21,11,2
1,2,2,4230,7690,41,12,2,1,2000,2,3,2,2,2,NA,NA,25,14,NA
1,2,2,4720,5270,31,12,2,2,2000,NA,3,2,2,2,14209,14209,28,16,2
1,2,1,800,8370,37,14,2,2,2000,NA,4,1,2,2,NA,NA,60,85,2
8,NA,NA,NA,NA,40,14,2,1,2000,4,NA,NA,NA,3,7750,NA,NA,NA,NA
7,2,2,4610,8170,32,10,2,2,2000,NA,NA,NA,NA,3,NA,NA,48,44,2
1,2,2,3600,8170,27,14,2,2,2000,3,4,1,2,2,NA,NA,48,50,2
6,2,2,4400,5570,19,12,2,1,2000,1,NA,NA,NA,1,NA,NA,23,10,1
1,2,1,350,8180,48,18,2,1,2000,NA,3,2,2,2,166419,56836,64,86,1
1,2,2,10,NA,39,16,1,1,2000,1,4,3,1,1,NA,NA,72,90,1
6,NA,NA,NA,NA,21,13,1,1,2000,3,NA,NA,NA,1,NA,NA,NA,NA,1
2,2,2,3645,7970,70,14,2,1,2000,NA,4,1,1,2,NA,NA,51,55,1
2,1,2,4610,9290,48,12,2,1,2000,NA,4,1,2,1,56836,4650,48,44,1
4,2,2,5140,3390,44,14,2,1,2000,1,NA,NA,1,3,85254,38752,40,32,1
1,2,2,430,6480,63,17,2,1,2000,NA,4,3,2,2,NA,NA,39,42,1
1,2,2,2100,7270,43,19,1,1,2000,3,3,2,1,2,NA,NA,69,89,1
1,1,2,500,8560,36,14,2,3,2000,2,4,3,2,2,56836,46502,46,59,1
2,1,2,430,6590,29,16,1,2,2000,NA,4,2,1,3,11626,9300,39,42,2
1,2,2,9620,1180,51,8,2,3,2000,NA,2,2,2,2,33585,19376,25,16,1
1,2,2,9130,1870,40,8,1,3,2000,1,NA,NA,2,2,28418,28418,35,29,NA
1,2,1,5540,6370,62,18,1,3,2000,3,NA,NA,2,3,85254,46502,45,46,NA
1,2,2,120,6890,33,13,2,3,2000,NA,3,1,3,2,46502,33585,53,65,2
5,2,2,7740,2990,82,6,1,1,2000,NA,NA,NA,NA,1,46502,NA,34,29,1
1,2,2,8965,3960,59,9,2,3,2000,3,NA,NA,1,1,38752,16792,35,28,NA
1,1,2,4020,8680,49,13,2,1,2000,2,4,2,1,3,103338,85254,33,24,1
1,NA,2,5700,6290,41,14,2,3,2000,1,4,3,1,2,46502,28418,47,55,2
1,2,1,4600,8470,35,12,2,2,2000,1,4,3,1,1,85254,3617,35,28,NA
1,2,1,5540,6370,25,12,2,2,2000,1,NA,NA,2,2,38752,28418,45,46,NA
6,NA,NA,NA,NA,19,12,1,2,2000,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
5,2,2,4710,4280,63,4,1,2,2000,1,NA,NA,NA,1,NA,517,48,58,NA
1,2,2,540,6990,37,14,1,3,2000,NA,4,2,1,1,103338,103338,46,53,2
1,2,2,8250,3990,47,10,2,3,2000,NA,3,2,3,2,14209,9300,35,29,2
6,NA,NA,NA,NA,19,13,2,3,2000,1,NA,NA,NA,1,9300,NA,NA,NA,2
1,2,2,1030,6970,29,16,1,1,2000,2,NA,NA,1,2,46502,46502,55,83,NA
7,1,2,4610,9290,43,14,2,3,2000,1,NA,NA,1,2,46502,NA,48,44,NA
1,2,2,1050,6680,25,16,1,3,2000,1,2,2,1,2,85254,85254,48,55,2
1,2,2,5120,6870,35,16,1,1,2000,2,3,2,2,1,166419,160964,45,48,1
1,2,2,5800,3090,53,12,2,1,2000,1,NA,NA,3,1,85254,69753,47,48,NA
1,2,2,5310,7970,49,12,2,1,2000,NA,4,3,2,3,69753,21959,50,65,1
1,2,2,7040,8790,45,14,1,1,2000,1,NA,NA,1,1,69753,69753,40,42,NA
1,2,1,5700,7870,52,13,2,1,2000,NA,4,3,1,1,166419,38752,47,55,1
7,2,2,5860,6890,36,14,2,1,2000,1,NA,NA,1,1,85254,NA,32,26,1
1,2,2,6320,770,36,12,1,1,2000,1,NA,NA,1,2,69753,56836,42,45,NA
1,2,2,9130,6380,41,12,1,1,2000,NA,4,1,1,2,69753,33585,35,29,1
7,2,2,310,8680,33,12,2,1,2000,NA,NA,NA,1,2,33585,NA,39,40,1
8,2,2,5700,9160,62,14,2,1,2000,1,NA,NA,NA,2,21959,21959,47,55,NA
1,2,2,5840,6990,34,12,2,1,2000,4,4,3,2,3,69753,28418,38,34,1
1,1,2,2825,6290,48,14,2,1,2000,1,3,2,1,2,103338,33585,46,57,1
2,2,2,2540,8470,38,13,2,1,2000,1,4,1,1,1,NA,2067,48,50,1
1,1,2,7315,3090,54,8,1,1,2000,2,NA,NA,1,2,46502,46502,45,53,NA
1,2,2,4710,6990,32,12,2,1,2000,1,4,2,1,1,69753,46502,48,58,1
1,2,2,6050,5470,38,11,1,2,2000,NA,4,3,2,3,24543,NA,27,18,2
1,2,2,5000,6190,39,14,2,3,2000,3,NA,NA,2,3,38752,38752,46,54,NA
6,NA,NA,NA,NA,19,11,2,2,2000,NA,NA,NA,NA,2,7750,NA,NA,NA,2
1,2,2,2200,7880,27,14,1,3,2000,NA,3,2,2,3,28418,28418,74,94,2
1,2,2,2200,7870,23,17,2,1,2000,1,2,2,2,2,7750,7750,74,94,2
1,2,2,9610,6070,22,14,1,3,2000,2,NA,NA,2,2,33585,33585,22,9,NA
7,2,2,5410,6070,40,12,2,1,2000,4,NA,NA,2,2,56836,NA,33,23,NA
1,2,1,850,6970,33,13,1,1,2000,4,NA,NA,1,3,38752,28418,63,84,NA
2,1,2,2630,1990,24,16,1,1,2000,4,NA,NA,2,3,NA,33585,46,56,NA
1,1,1,410,370,41,16,1,1,2000,3,4,2,1,2,NA,NA,41,44,NA
1,2,1,7200,9470,51,12,1,1,2000,NA,4,2,2,2,103338,69753,45,50,1
1,2,1,2320,7860,37,18,1,1,2000,NA,4,3,1,2,56836,46502,64,91,1
1,2,1,2320,7860,51,18,1,1,2000,NA,4,3,2,2,166419,69753,64,91,1
1,1,2,4010,8680,54,18,1,1,2000,4,NA,NA,1,1,85254,85254,38,29,NA
1,1,2,850,6990,23,16,1,1,2000,NA,NA,NA,1,3,NA,NA,63,84,NA
1,1,2,2100,7270,63,12,1,1,2000,2,NA,NA,2,2,NA,NA,69,89,NA
1,2,1,2310,7860,52,20,2,1,2000,2,4,1,4,2,46502,46502,61,85,1
2,2,2,7830,1270,27,16,2,3,2000,1,NA,NA,3,1,166419,11626,23,13,NA
1,2,1,3800,9470,35,13,1,1,2000,NA,4,3,1,2,NA,NA,40,39,1
1,NA,2,6355,770,47,14,1,1,2000,3,NA,NA,1,1,103338,2067,49,54,NA
2,2,2,6240,770,23,14,1,1,2000,2,NA,NA,2,2,166419,19376,31,19,NA
1,2,2,2750,7890,47,13,1,1,2000,1,NA,NA,2,2,166419,85254,51,66,NA
1,2,2,4600,8470,37,17,2,2,2000,NA,4,1,2,2,69753,21959,35,28,1
2,2,2,8830,6570,28,12,2,3,2000,1,4,2,2,2,2067,NA,35,22,2
1,2,2,3300,4170,35,16,1,3,2000,1,NA,NA,2,2,46502,46502,61,84,NA
1,2,2,8740,3360,48,14,2,3,2000,3,NA,NA,2,2,21959,21959,39,38,NA
2,2,2,4110,8680,72,11,2,1,2000,NA,4,1,2,2,NA,9300,31,16,1
7,2,2,4720,5170,57,9,2,1,2000,2,NA,NA,1,2,103338,NA,28,16,1
1,1,2,1820,8080,40,20,1,1,2000,1,NA,NA,2,1,166419,160964,71,94,NA
1,2,1,5560,6370,36,14,2,2,2000,5,3,3,4,3,28418,24543,38,35,1
1,2,2,3255,8190,65,20,2,1,2000,1,NA,NA,3,1,69753,56836,64,87,NA
1,2,2,1060,6380,56,13,2,1,2000,4,NA,NA,2,3,33585,33585,57,80,NA
5,2,2,6440,770,55,13,1,1,2000,2,NA,NA,NA,2,19376,NA,43,50,NA
1,2,1,2300,8470,23,14,2,1,2000,2,4,1,1,2,38752,19376,53,68,NA
5,2,2,5860,6170,84,7,2,1,2000,2,NA,NA,NA,3,11626,NA,32,26,NA
1,2,2,3600,8270,62,12,2,2,2000,NA,4,2,2,3,38752,19376,48,50,2
1,2,2,3730,5380,40,16,2,1,2000,NA,3,1,1,3,16792,7750,38,40,1
1,2,2,9120,6180,42,13,2,1,2000,5,4,1,1,3,21959,21959,35,27,1
1,2,1,3955,7860,47,13,2,1,2000,NA,4,3,1,3,38752,NA,32,24,1
1,2,2,2630,1990,53,15,2,1,2000,NA,NA,NA,1,3,NA,NA,46,56,NA
2,NA,2,3648,7480,26,16,2,1,2000,2,NA,NA,2,2,46502,21959,43,53,NA
1,2,2,4110,8680,25,12,2,1,2000,NA,4,1,1,3,28418,21959,31,16,1
5,2,2,6355,6080,64,12,1,1,2000,3,NA,NA,NA,2,16792,NA,49,54,1
1,2,2,5000,3580,40,14,1,1,2000,NA,4,3,2,3,69753,69753,46,54,1
4,2,2,6260,770,24,12,1,2,2000,3,NA,NA,1,2,2067,NA,28,23,NA
1,2,2,1005,3990,27,12,2,2,2000,1,4,1,3,3,38752,19376,69,94,2
1,2,2,6260,9570,39,13,1,1,2000,4,4,1,4,3,56836,38752,28,23,1
2,2,1,2000,9480,46,13,2,2,2000,NA,4,1,1,1,NA,NA,51,64,1
2,2,2,4760,5170,18,11,2,1,2000,1,4,1,2,1,NA,NA,31,18,1
1,2,2,8965,1990,46,11,1,2,2000,NA,NA,NA,4,3,19376,19376,35,28,2
5,2,2,5860,6680,80,11,2,1,2000,NA,NA,NA,NA,1,19376,NA,32,26,1
5,2,2,5010,6480,77,10,2,1,2000,NA,NA,NA,NA,3,NA,NA,25,12,1
1,2,2,7000,2190,61,20,1,3,2000,NA,2,3,2,1,56836,56836,43,43,1
1,2,2,5820,6990,46,12,2,1,2000,3,NA,NA,2,3,19376,19376,37,29,NA
1,2,2,4760,4670,53,19,1,1,2000,4,4,1,1,2,38752,33585,31,18,1
1,2,2,4850,3590,32,11,2,1,2000,2,4,2,2,2,33585,33585,45,55,1
2,2,2,3830,280,51,14,2,1,2000,NA,3,3,1,1,19376,2067,49,58,1
1,2,2,5850,2190,32,12,1,1,2000,2,NA,NA,1,3,NA,NA,32,21,NA
1,2,2,4760,4670,38,12,1,1,2000,5,NA,NA,1,2,16792,NA,31,18,NA
1,2,2,2825,9470,50,17,1,1,2000,NA,4,1,4,2,69753,69753,46,57,1
2,2,2,2200,7870,46,17,2,1,2000,4,NA,NA,1,2,21959,21959,74,94,NA
1,2,2,5820,7070,42,12,2,1,2000,NA,1,1,1,2,33585,33585,37,29,NA
1,2,2,7010,7380,31,12,1,1,2000,4,4,1,2,3,28418,28418,49,59,1
1,2,2,3255,8190,47,14,2,1,2000,2,4,1,1,1,85254,33585,64,87,1
2,2,2,4050,4980,45,12,2,1,2000,3,4,1,1,1,46502,4650,21,11,1
7,2,2,4710,9070,26,12,2,1,2000,2,NA,NA,2,1,46502,NA,48,58,NA
1,2,2,2310,7860,45,18,2,1,2000,2,NA,NA,2,1,166419,160964,61,85,NA
2,2,2,4850,2170,32,13,2,1,2000,2,NA,NA,1,2,103338,28418,45,55,NA
1,2,2,9620,4970,31,12,1,1,2000,2,4,2,2,2,56836,24543,25,16,1
2,2,2,5940,9170,40,16,2,1,2000,2,NA,NA,4,2,103338,16792,17,6,NA
2,2,2,4720,9070,18,11,2,1,2000,NA,4,1,1,1,103338,2067,28,16,1
1,2,2,6720,8190,44,12,2,2,2000,3,2,2,1,2,19376,19376,47,64,2
7,1,2,4600,8470,35,11,2,2,2000,4,NA,NA,2,3,4650,2067,35,28,2
1,2,2,5810,3360,31,10,2,2,2000,NA,4,2,3,3,28418,28418,37,29,2
8,2,2,5610,4585,50,11,2,3,2000,2,NA,NA,NA,3,11626,NA,35,27,NA
2,1,2,4230,9290,37,13,2,2,2000,3,4,1,3,2,2067,NA,25,14,2
1,2,1,3710,9470,37,14,1,1,2000,5,NA,NA,2,1,56836,33585,66,87,NA
2,2,2,4020,8680,19,11,1,1,2000,3,NA,NA,2,2,NA,4650,33,24,NA
1,1,2,6220,770,28,12,1,1,2000,NA,4,1,1,3,19376,19376,39,36,1
5,1,1,7220,8870,79,11,1,1,2000,1,NA,NA,NA,2,19376,NA,45,50,NA
1,2,1,2310,7860,31,16,2,1,2000,NA,4,1,1,1,69753,28418,61,85,1
7,2,1,2330,7860,33,18,2,1,2000,1,NA,NA,1,1,69753,14209,61,83,1
1,2,2,7700,2290,56,11,1,1,2000,NA,4,1,1,1,85254,56836,50,62,1
1,2,2,3160,8190,30,16,2,1,2000,1,NA,NA,2,2,69753,46502,65,91,NA
1,2,2,9620,1180,22,8,1,1,2000,2,2,3,2,3,19376,19376,25,16,2
2,1,2,2630,7370,57,15,2,1,2000,NA,4,3,1,3,24543,24543,46,56,1
1,2,2,350,8270,44,14,2,1,2000,NA,4,3,3,3,21959,21959,64,86,1
1,2,1,8740,1290,38,14,1,1,2000,2,NA,NA,2,1,56836,56836,39,38,NA
1,2,2,5700,7280,60,12,2,1,2000,1,NA,NA,2,3,33585,14209,47,55,NA
1,2,2,4850,5380,21,14,2,1,2000,NA,4,1,3,3,16792,2067,45,55,2
3,2,1,5700,7980,35,16,2,1,2000,2,NA,NA,1,2,69753,38752,47,55,NA
1,2,1,430,1290,49,14,1,1,2000,1,NA,NA,1,2,56836,46502,39,42,NA
1,1,2,3245,8370,37,18,2,1,2000,NA,4,3,1,2,85254,38752,62,82,1
1,2,2,3600,8270,61,13,1,1,2000,NA,4,1,1,3,28418,14209,48,50,2
5,NA,NA,NA,NA,67,9,2,1,2000,NA,NA,NA,NA,2,11626,NA,NA,NA,1
7,NA,NA,NA,NA,63,12,2,1,2000,NA,NA,NA,NA,3,9300,NA,NA,NA,2
1,2,2,5240,6670,23,13,2,1,2000,1,4,2,2,2,19376,19376,31,20,1
1,2,1,3600,8270,62,11,2,1,2000,2,NA,NA,4,1,3617,3617,48,50,NA
2,2,2,4760,5380,41,11,2,1,2000,2,4,2,2,3,14209,11626,31,18,1
1,2,1,5550,6370,47,12,1,1,2000,NA,4,3,1,1,46502,46502,45,51,1
1,2,1,2430,7870,40,17,2,1,2000,2,4,2,2,2,2067,2067,55,73,1
2,2,2,4760,5592,22,15,1,1,2000,2,4,1,2,2,85254,6717,31,18,1
4,2,2,8710,NA,32,11,1,1,2000,4,NA,NA,1,3,9300,9300,28,11,2
1,2,2,8030,2970,26,14,1,1,2000,2,2,2,1,2,24543,24543,40,37,1
5,2,2,4230,8660,80,8,2,1,2000,NA,NA,NA,NA,1,4650,NA,25,14,1
1,2,2,4220,8190,57,14,1,1,2000,2,4,3,1,2,38752,21959,24,15,1
1,2,2,4010,8680,33,13,2,1,2000,NA,4,2,2,2,38752,19376,38,29,1
6,2,2,4230,8660,20,9,2,3,2000,NA,NA,NA,NA,3,38752,6717,25,14,1
1,2,2,9620,4780,19,9,1,1,2000,NA,3,3,2,2,9300,NA,25,16,1
5,1,2,9130,6170,66,14,1,1,2000,1,NA,NA,NA,1,33585,NA,35,29,NA
1,2,1,6320,770,56,12,1,1,2000,3,4,3,1,1,24543,24543,42,45,1
1,1,2,4600,8470,44,12,2,1,2000,3,NA,NA,1,2,46502,16792,35,28,NA
1,2,2,220,770,57,12,1,1,2000,1,4,1,1,1,38752,33585,53,75,1
7,2,1,5700,7580,68,12,2,1,2000,3,NA,NA,2,2,NA,NA,47,55,NA
5,2,1,7140,9370,81,11,1,1,2000,2,NA,NA,NA,1,46502,NA,56,81,NA
2,2,2,6260,770,27,16,1,1,2000,4,4,2,1,3,16792,16792,28,23,1
1,2,2,5330,6890,26,12,2,3,2000,NA,2,1,1,2,24543,24543,49,57,2
1,2,2,5000,4690,NA,14,1,1,2000,NA,4,1,2,2,24543,24543,46,54,1
1,2,2,3310,7980,31,14,2,1,2000,1,NA,NA,1,2,69753,46502,56,78,NA
1,1,2,310,8680,37,16,1,1,2000,1,4,3,2,2,56836,28418,39,40,1
1,2,2,5240,7590,52,12,2,3,2000,1,NA,NA,2,2,28418,16792,31,20,NA
1,2,1,425,9470,45,14,2,1,2000,NA,4,3,1,1,56836,56836,58,82,1
5,2,1,5940,9470,69,16,2,1,2000,3,NA,NA,NA,2,517,NA,17,6,NA
1,2,2,220,770,63,10,1,1,2000,NA,4,3,2,2,38752,38752,53,75,1
5,2,2,8220,2670,79,11,1,1,2000,NA,NA,NA,NA,2,21959,NA,44,47,1
5,2,1,2310,7860,82,15,2,1,2000,NA,NA,NA,NA,1,NA,NA,61,85,1
5,2,1,2010,8370,74,16,1,1,2000,1,NA,NA,NA,1,28418,NA,54,68,NA
1,2,1,3850,9470,36,15,1,3,2000,2,NA,NA,1,2,56836,56836,60,78,NA
7,2,2,8300,1680,66,12,2,1,2000,1,NA,NA,NA,3,16792,NA,26,12,1
8,1,2,205,180,54,12,1,1,2000,NA,NA,NA,NA,2,33585,NA,46,58,3
5,2,2,6355,570,73,16,1,1,2000,1,NA,NA,NA,1,28418,2067,49,54,NA
5,2,1,9000,7860,62,13,1,1,2000,2,NA,NA,NA,2,56836,NA,45,50,NA
2,1,2,4500,8970,81,11,1,1,2000,1,4,NA,1,2,11626,5684,36,29,NA
7,2,2,3255,8190,88,16,2,1,2000,NA,NA,NA,NA,1,14209,NA,64,87,1
5,2,2,5000,9470,74,12,1,1,2000,2,NA,NA,NA,1,46502,NA,46,54,1
1,1,2,4700,4790,52,14,1,1,2000,1,NA,NA,NA,1,166419,160964,38,39,NA
5,1,2,3520,5080,83,13,1,1,2000,NA,NA,NA,NA,2,56836,NA,60,87,1
1,2,2,120,1280,49,16,1,1,2000,NA,4,2,2,1,166419,103338,53,65,1
2,2,2,630,7580,42,12,2,1,2000,1,3,2,1,2,69753,11626,47,59,1
1,1,2,810,7070,54,14,1,1,2000,NA,4,1,2,1,166419,28418,55,69,1
8,2,2,4950,6470,20,13,1,1,2000,1,NA,NA,NA,1,85254,NA,21,8,NA
2,1,2,4250,7770,65,16,1,1,2000,1,NA,NA,1,1,16792,7750,37,33,NA
3,2,1,2200,7870,53,16,1,1,2000,1,NA,NA,1,2,69753,56836,74,94,NA
1,2,2,540,6990,36,16,1,2,2000,2,4,3,1,1,69753,56836,46,53,1
2,2,2,4060,5090,48,11,2,1,2000,2,3,2,4,3,46502,9300,24,13,1
7,2,1,9040,9670,36,14,2,1,2000,NA,NA,NA,1,3,46502,33585,66,91,2
1,2,2,1010,6680,43,12,2,1,2000,NA,3,3,2,3,46502,33585,63,87,1
1,2,2,1900,1170,24,12,2,1,2000,3,4,2,2,1,28418,16792,45,50,1
1,2,2,5620,4870,25,12,1,1,2000,3,NA,NA,3,1,46502,28418,25,12,NA
1,2,2,7750,2490,32,12,2,1,2000,3,NA,NA,1,1,38752,14209,35,26,NA
1,2,2,1550,3360,51,16,2,1,2000,NA,4,2,2,2,69753,38752,50,63,1
1,1,2,810,7070,56,13,1,1,2000,1,3,3,2,3,28418,NA,55,69,1
2,2,2,4030,8190,43,12,2,1,2000,1,3,3,1,2,38752,9300,21,9,1
6,NA,NA,NA,NA,20,12,2,1,2000,2,NA,NA,NA,1,NA,NA,NA,NA,2
5,2,2,800,6890,74,12,1,1,2000,NA,NA,NA,NA,3,7750,NA,60,85,1
5,2,2,3500,8270,69,12,2,1,2000,NA,NA,NA,NA,2,11626,NA,69,88,1
4,2,2,8965,3780,19,10,1,1,2000,NA,NA,NA,4,1,NA,NA,35,28,1
2,2,2,9130,6170,58,10,1,1,2000,3,NA,NA,1,1,28418,28418,35,29,NA
1,2,2,8040,2680,52,12,1,1,2000,1,NA,NA,2,1,85254,56836,32,23,NA
1,2,2,4810,6990,56,16,1,1,2000,2,4,3,2,2,166419,160964,47,61,1
1,2,2,5630,6690,22,13,1,1,2000,NA,4,2,2,1,33585,33585,34,26,2
7,NA,NA,NA,NA,71,12,2,1,2000,4,NA,NA,1,1,24543,NA,NA,NA,2
1,2,2,4850,2370,45,14,1,1,2000,NA,4,3,1,1,69753,69753,45,55,1
2,2,2,3600,8190,46,14,2,1,2000,3,NA,NA,1,1,28418,28418,48,50,NA
1,2,1,2540,7860,36,12,2,1,2000,NA,4,1,1,3,28418,14209,48,50,2
6,1,2,310,8680,32,15,1,1,2000,4,NA,NA,NA,3,38752,38752,39,40,NA
2,2,2,5120,7070,26,16,2,1,2000,NA,4,1,1,2,19376,19376,45,48,2
1,2,2,4700,4970,24,12,1,1,2000,2,NA,NA,1,2,28418,28418,38,39,NA
1,2,2,1006,7380,24,14,1,1,2000,NA,3,3,1,1,28418,NA,65,90,2
1,2,2,4250,7670,44,5,1,1,2000,NA,4,2,1,3,14209,14209,37,33,2
1,2,2,9620,1280,44,13,1,1,2000,5,NA,NA,2,3,9300,3617,25,16,NA
1,2,2,4010,8680,35,16,1,1,2000,NA,4,3,2,2,33585,33585,38,29,2
4,2,2,4110,8660,47,15,2,1,2000,NA,NA,NA,2,3,14209,14209,31,16,2
6,2,2,6100,280,21,13,1,1,2000,1,NA,NA,NA,2,38752,38752,36,36,NA
1,2,2,1430,2370,27,17,1,1,2000,2,3,1,2,2,2067,NA,63,91,2
7,NA,NA,NA,NA,23,14,1,1,2000,3,NA,NA,NA,2,9300,NA,NA,NA,NA
7,2,2,4760,5790,84,14,2,1,2000,3,NA,NA,NA,2,46502,NA,31,18,2
1,2,2,5240,8190,54,12,2,1,2000,3,NA,NA,2,2,9300,7750,31,20,NA
1,2,2,2330,7860,45,13,2,1,2000,NA,3,3,1,2,56836,11626,61,83,1
7,NA,NA,NA,NA,73,12,2,1,2000,NA,NA,NA,1,1,56836,NA,NA,NA,1
5,1,2,350,8270,79,12,1,1,2000,NA,NA,NA,NA,2,56836,NA,64,86,1
1,1,2,6230,770,38,13,1,1,2000,2,4,2,2,1,16792,16792,44,49,1
2,2,2,8256,1990,20,13,1,1,2000,2,4,2,2,1,38752,5684,29,19,1
2,2,2,4220,9160,32,12,2,1,2000,3,NA,NA,1,2,24543,517,24,15,NA
1,1,2,205,180,34,14,1,1,2000,2,NA,NA,1,3,24543,19376,46,58,NA
1,2,2,8965,1870,44,16,2,1,2000,5,4,2,3,3,11626,11626,35,28,2
1,1,2,4700,4670,30,12,1,1,2000,2,4,1,2,2,85254,85254,38,39,1
1,2,2,120,3970,39,17,1,1,2000,4,3,2,3,3,38752,33585,53,65,1
1,2,2,4010,8680,50,16,1,1,2000,NA,4,1,1,1,NA,NA,38,29,1
1,2,2,2540,8470,48,12,2,1,2000,3,NA,NA,1,2,33585,6717,48,50,NA
1,2,2,6050,170,34,12,1,1,2000,NA,4,1,2,2,46502,33585,27,18,1
1,2,2,3600,8270,61,8,2,1,2000,3,4,3,1,2,28418,19376,48,50,1
1,2,1,800,9480,47,17,1,1,2000,3,NA,NA,2,2,69753,46502,60,85,NA
1,2,2,4120,8270,44,16,2,1,2000,NA,4,2,2,2,46502,19376,34,29,1
1,2,2,1550,2870,44,15,1,2,2000,NA,3,3,2,3,16792,11626,50,63,2
1,1,2,3260,8080,32,20,1,1,2000,2,NA,NA,1,2,21959,NA,44,60,NA
1,2,2,1410,3360,45,17,1,1,2000,NA,4,1,2,1,NA,NA,73,94,1
7,NA,NA,NA,NA,61,12,2,1,2000,NA,NA,NA,NA,3,NA,NA,NA,NA,1
